property,title,value,format
standardversion,"Версия методических рекомендаций",http://opendata.gosmonitor.ru/standard/3.0
7730176610-p5statplanprov,"Статистическая информация ФТС России по результатам проведенных плановых и внеплановых проверок",https://customs.gov.ru/7730176610-p5statplanprov/meta.csv,csv
7730176610-mestavh,"Места временного хранения (генеральные разрешения на временное хранение в пределах территории морского (речного) порта и железнодорожных станций)",https://customs.gov.ru/7730176610-mestavh/meta.csv,csv
7730176610-tltgranitsa,"Перечень функционирующих таможенно-логистических терминалов, расположенных вблизи государственной границы Российской Федерации",https://customs.gov.ru/7730176610-tltgranitsa/meta.csv,csv
7730176610-reestrmbt,"Реестр владельцев магазинов беспошлинной торговли",https://customs.gov.ru/7730176610-reestrmbt/meta.csv,csv
7730176610-reestrvtamskl,"Реестр владельцев таможенных складов",https://customs.gov.ru/7730176610-reestrvtamskl/meta.csv,csv
7730176610-p6vakantdlzndvtu,"Сведения о вакантных должностях государственной гражданской службы Дальневосточного таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlzndvtu/meta.csv,csv
7730176610-p6vakantdlznfts,"Сведения о вакантных должностях государственной гражданской службы ФТС России",https://customs.gov.ru/7730176610-p6vakantdlznfts/meta.csv,csv
7730176610-p6vakantdlznjutu,"Сведения о вакантных должностях государственной гражданской службы Южного таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznjutu/meta.csv,csv
7730176610-p6vakantdlznctu,"Сведения о вакантных должностях государственной гражданской службы Центрального таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznctu/meta.csv,csv
7730176610-p6vakantdlznutu,"Сведения о вакантных должностях государственной гражданской службы Уральского таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznutu/meta.csv,csv
7730176610-p6vakantdlznstu,"Сведения о вакантных должностях государственной гражданской службы Сибирского таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznstu/meta.csv,csv
7730176610-p6vakantdlznsztu,"Сведения о вакантных должностях государственной гражданской службы Северо-Западного таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznsztu/meta.csv,csv
7730176610-p6vakantdlznreboti,"Сведения о вакантных должностях государственной гражданской службы Регионального таможенного управления радиоэлектронной безопасности объектов таможенной инфраструктуры",https://customs.gov.ru/7730176610-p6vakantdlznreboti/meta.csv,csv
7730176610-p6vakantdlzndcektu,"Сведения о вакантных должностях государственной гражданской службы Центрального экспертно-криминалистического таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlzndcektu/meta.csv,csv
7730176610-p6vakantdlznsktu,"Сведения о вакантных должностях государственной гражданской службы Северо-Кавказского таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznsktu/meta.csv,csv
7730176610-p6vakantdlzncet,"Сведения о вакантных должностях государственной гражданской службы Центральной энергетической таможни",https://customs.gov.ru/7730176610-p6vakantdlzncet/meta.csv,csv
7730176610-p6vakantdlzncat,"Сведения о вакантных должностях государственной гражданской службы Центральной акцизной таможни",https://customs.gov.ru/7730176610-p6vakantdlzncat/meta.csv,csv
7730176610-p6vakantdlzncbt,"Сведения о вакантных должностях государственной гражданской службы Центральной базовой таможни",https://customs.gov.ru/7730176610-p6vakantdlzncbt/meta.csv,csv
7730176610-p6vakantdlzncittu,"Сведения о вакантных должностях государственной гражданской службы Центрального информационно-технического таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlzncittu/meta.csv,csv
7730176610-p6vakantdlznsht,"Сведения о вакантных должностях государственной гражданской службы Шереметьевской таможни",https://customs.gov.ru/7730176610-p6vakantdlznsht/meta.csv,csv
7730176610-p6vakantdlznvnt,"Сведения о вакантных должностях государственной гражданской службы Внуковской таможни",https://customs.gov.ru/7730176610-p6vakantdlznvnt/meta.csv,csv
7730176610-p6vakantdlznptu,"Сведения о вакантных должностях государственной гражданской службы Приволжского таможенного управления",https://customs.gov.ru/7730176610-p6vakantdlznptu/meta.csv,csv
7730176610-p6vakantdlzndt,"Сведения о вакантных должностях государственной гражданской службы Домодедовской таможни",https://customs.gov.ru/7730176610-p6vakantdlzndt/meta.csv,csv
7730176610-p6vakantdlzncpt,"Сведения о вакантных должностях государственной гражданской службы Центральной почтовой таможни",https://customs.gov.ru/7730176610-p6vakantdlzncpt/meta.csv,csv
7730176610-p6vakantdlzncentrt,"Сведения о вакантных должностях государственной гражданской службы Центральной таможни (Кинологического центра ФТС России)",https://customs.gov.ru/7730176610-p6vakantdlzncentrt/meta.csv,csv
7730176610-trois,"Таможенный реестр объектов интеллектуальной собственности",https://customs.gov.ru/7730176610-trois/meta.csv,csv
7730176610-revlsvrhr,"Реестр владельцев складов временного хранения",https://customs.gov.ru/7730176610-revlsvrhr/meta.csv,csv
7730176610-reestrtamperev,"Реестр таможенных перевозчиков",https://customs.gov.ru/7730176610-reestrtamperev/meta.csv,csv
7730176610-reesrtampredst,"Реестр таможенных представителей",https://customs.gov.ru/7730176610-reesrtampredst/meta.csv,csv
7730176610-law,"Реестр нормативных правовых актов, затрагивающих интересы третьих лиц и зарегистрированных в Минюсте России",https://customs.gov.ru/7730176610-law/meta.csv,csv
7730176610-pgu,"Перечень государственных услуг (функций) ФТС России",https://customs.gov.ru/7730176610-pgu/meta.csv,csv
730176610-docgosstrplan,"Документы государственного стратегического планирования ФТС России",https://customs.gov.ru/730176610-docgosstrplan/meta.csv,csv
7730176610-rebankincredit,"Реестр банков, обладающих правом выдачи банковских гарантий",https://customs.gov.ru/7730176610-rebankincredit/meta.csv,csv
7730176610-mask44,"Маски номеров документов, используемых при заявлении сведений в графе 44 ДТ и ТД",https://customs.gov.ru/7730176610-mask44/meta.csv,csv
7730176610-grazhdane,"Обзор обращений граждан в ФТС России",https://customs.gov.ru/7730176610-grazhdane/meta.csv,csv
