Код,Наименование,Тариф,Подробности
0101210000,лошади: 🠺 чистопородные племенные животные,0%,подробнее
0101291000,лошади: 🠺 прочие: 🠺 убойные,5%,подробнее
0101299000,лошади: 🠺 прочие: 🠺 прочие,5%,подробнее
0101300000,"Лошади, ослы, мулы и лошаки живые: 🠺 ослы",5%,подробнее
0101900000,"Лошади, ослы, мулы и лошаки живые: 🠺 прочие",5%,подробнее
0102211000,чистопородные племенные животные: 🠺 нетели (самки крупного рогатого скота до первого отела),0%,подробнее
0102213000,чистопородные племенные животные: 🠺 коровы,0%,подробнее
0102219000,чистопородные племенные животные: 🠺 прочие,0%,подробнее
0102290500,домашний крупный рогатый скот: 🠺 прочие: 🠺 подрода Bibos или подрода Poephagus,5%,подробнее
0102291000,домашний крупный рогатый скот: 🠺 прочие: 🠺 прочие: 🠺 массой не более 80 кг,5%,подробнее
0102292100,"массой более 80 кг, но не более 160 кг: 🠺 убойные",5%,подробнее
0102292900,"массой более 80 кг, но не более 160 кг: 🠺 прочие",5%,подробнее
0102294100,"массой более 160 кг, но не более 300 кг: 🠺 убойные",5%,подробнее
0102294900,"массой более 160 кг, но не более 300 кг: 🠺 прочие",5%,подробнее
0102295100,нетели (самки крупного рогатого скота до первого отела): 🠺 убойные,5%,подробнее
0102295900,нетели (самки крупного рогатого скота до первого отела): 🠺 прочие,5%,подробнее
0102296100,коровы: 🠺 убойные,5%,подробнее
0102296900,коровы: 🠺 прочие,5%,подробнее
0102299100,массой более 300 кг: 🠺 прочие: 🠺 убойные,5%,подробнее
0102299900,массой более 300 кг: 🠺 прочие: 🠺 прочие,5%,подробнее
0102310000,буйволы: 🠺 чистопородные племенные животные,0%,подробнее
0102391000,буйволы: 🠺 прочие: 🠺 домашние виды,5%,подробнее
0102399000,буйволы: 🠺 прочие: 🠺 прочие,5%,подробнее
0102902000,Крупный рогатый скот живой: 🠺 прочие: 🠺 чистопородные племенные животные,0%,подробнее
0102909100,Крупный рогатый скот живой: 🠺 прочие: 🠺 прочие: 🠺 домашние виды,5%,подробнее
0102909900,Крупный рогатый скот живой: 🠺 прочие: 🠺 прочие: 🠺 прочие,5%,подробнее
0103100000,Свиньи живые: 🠺 чистопородные племенные животные,0%,подробнее
0103911000,массой менее 50 кг: 🠺 домашние виды,5%,подробнее
0103919000,массой менее 50 кг: 🠺 прочие,5%,подробнее
0103921100,"домашние виды: 🠺 свиноматки массой не менее 160 кг, имевшие по крайней мере один опорос",5%,подробнее
0103921900,домашние виды: 🠺 прочие,5%,подробнее
0103929000,массой 50 кг или более: 🠺 прочие,5%,подробнее
0104101000,овцы: 🠺 чистопородные племенные животные,0%,подробнее
0104103000,овцы: 🠺 прочие: 🠺 ягнята (до одного года),5%,подробнее
0104108000,овцы: 🠺 прочие: 🠺 прочие,5%,подробнее
0104201000,козы: 🠺 чистопородные племенные животные,0%,подробнее
0104209000,козы: 🠺 прочие,5%,подробнее
0105111100,цыплята прародительских и материнских линий племенного разведения: 🠺 линии несушек,0%,подробнее
0105111900,цыплята прародительских и материнских линий племенного разведения: 🠺 прочие,0%,подробнее
0105119100,куры домашние (Gallus domesticus): 🠺 прочие: 🠺 линии несушек,0%,подробнее
0105119900,куры домашние (Gallus domesticus): 🠺 прочие: 🠺 прочие,0%,подробнее
0105120000,массой не более 185 г: 🠺 индейки,0%,подробнее
0105130000,массой не более 185 г: 🠺 утки,0%,подробнее
0105140000,массой не более 185 г: 🠺 гуси,0%,подробнее
0105150000,массой не более 185 г: 🠺 цесарки,0%,подробнее
0105940000,"Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки: 🠺 прочие: 🠺 куры домашние (Gallus domesticus)",5%,подробнее
0105991000,"Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки: 🠺 прочие: 🠺 прочие: 🠺 утки",5%,подробнее
